2000-01-01,China,8.2792
2000-02-01,China,8.2781
2000-03-01,China,8.2786
2000-04-01,China,8.2793
2000-05-01,China,8.2781
2000-06-01,China,8.2772
2000-07-01,China,8.2794
2000-08-01,China,8.2796
2000-09-01,China,8.2785
2000-10-01,China,8.2785
2000-11-01,China,8.2774
2000-12-01,China,8.2771
2001-01-01,China,8.2776
2001-02-01,China,8.2771
2001-03-01,China,8.2775
2001-04-01,China,8.2771
2001-05-01,China,8.2770
2001-06-01,China,8.2770
2001-07-01,China,8.2769
2001-08-01,China,8.2770
2001-09-01,China,8.2768
2001-10-01,China,8.2768
2001-11-01,China,8.2769
2001-12-01,China,8.2764
2002-01-01,China,8.2771
2002-02-01,China,8.2767
2002-03-01,China,8.2773
2002-04-01,China,8.2772
2002-05-01,China,8.2770
2002-06-01,China,8.2767
2002-07-01,China,8.2768
2002-08-01,China,8.2767
2002-09-01,China,8.2770
2002-10-01,China,8.2772
2002-11-01,China,8.2772
2002-12-01,China,8.2777
2003-01-01,China,8.2775
2003-02-01,China,8.2780
2003-03-01,China,8.2773
2003-04-01,China,8.2772
2003-05-01,China,8.2769
2003-06-01,China,8.2771
2003-07-01,China,8.2773
2003-08-01,China,8.2770
2003-09-01,China,8.2772
2003-10-01,China,8.2768
2003-11-01,China,8.2769
2003-12-01,China,8.2770
2004-01-01,China,8.2770
2004-02-01,China,8.2771
2004-03-01,China,8.2771
2004-04-01,China,8.2769
2004-05-01,China,8.2771
2004-06-01,China,8.2767
2004-07-01,China,8.2767
2004-08-01,China,8.2768
2004-09-01,China,8.2767
2004-10-01,China,8.2765
2004-11-01,China,8.2765
2004-12-01,China,8.2765
2005-01-01,China,8.2765
2005-02-01,China,8.2765
2005-03-01,China,8.2765
2005-04-01,China,8.2765
2005-05-01,China,8.2765
2005-06-01,China,8.2765
2005-07-01,China,8.2264
2005-08-01,China,8.1017
2005-09-01,China,8.0919
2005-10-01,China,8.0895
2005-11-01,China,8.0840
2005-12-01,China,8.0755
2006-01-01,China,8.0654
2006-02-01,China,8.0512
2006-03-01,China,8.0350
2006-04-01,China,8.0143
2006-05-01,China,8.0131
2006-06-01,China,8.0042
2006-07-01,China,7.9897
2006-08-01,China,7.9722
2006-09-01,China,7.9334
2006-10-01,China,7.9018
2006-11-01,China,7.8622
2006-12-01,China,7.8219
2007-01-01,China,7.7876
2007-02-01,China,7.7502
2007-03-01,China,7.7369
2007-04-01,China,7.7247
2007-05-01,China,7.6773
2007-06-01,China,7.6333
2007-07-01,China,7.5757
2007-08-01,China,7.5734
2007-09-01,China,7.5210
2007-10-01,China,7.5019
2007-11-01,China,7.4210
2007-12-01,China,7.3682
2008-01-01,China,7.2405
2008-02-01,China,7.1644
2008-03-01,China,7.0722
2008-04-01,China,6.9997
2008-05-01,China,6.9725
2008-06-01,China,6.8993
2008-07-01,China,6.8355
2008-08-01,China,6.8462
2008-09-01,China,6.8307
2008-10-01,China,6.8358
2008-11-01,China,6.8281
2008-12-01,China,6.8539
2009-01-01,China,6.8360
2009-02-01,China,6.8363
2009-03-01,China,6.8360
2009-04-01,China,6.8306
2009-05-01,China,6.8235
2009-06-01,China,6.8334
2009-07-01,China,6.8317
2009-08-01,China,6.8323
2009-09-01,China,6.8277
2009-10-01,China,6.8267
2009-11-01,China,6.8271
2009-12-01,China,6.8275
2010-01-01,China,6.8269
2010-02-01,China,6.8285
2010-03-01,China,6.8262
2010-04-01,China,6.8256
2010-05-01,China,6.8275
2010-06-01,China,6.8184
2010-07-01,China,6.7762
2010-08-01,China,6.7873
2010-09-01,China,6.7396
2010-10-01,China,6.6678
2010-11-01,China,6.6538
2010-12-01,China,6.6497
2011-01-01,China,6.5964
2011-02-01,China,6.5761
2011-03-01,China,6.5645
2011-04-01,China,6.5267
2011-05-01,China,6.4957
2011-06-01,China,6.4746
2011-07-01,China,6.4575
2011-08-01,China,6.4036
2011-09-01,China,6.3885
2011-10-01,China,6.3710
2011-11-01,China,6.3564
2011-12-01,China,6.3482
2012-01-01,China,6.3172
2012-02-01,China,6.2997
2012-03-01,China,6.3125
2012-04-01,China,6.3043
2012-05-01,China,6.3242
2012-06-01,China,6.3633
2012-07-01,China,6.3717
2012-08-01,China,6.3593
2012-09-01,China,6.3200
2012-10-01,China,6.2627
2012-11-01,China,6.2338
2012-12-01,China,6.2328
2013-01-01,China,6.2215
2013-02-01,China,6.2323
2013-03-01,China,6.2154
2013-04-01,China,6.1861
2013-05-01,China,6.1416
2013-06-01,China,6.1342
2013-07-01,China,6.1343
2013-08-01,China,6.1213
2013-09-01,China,6.1198
2013-10-01,China,6.1032
2013-11-01,China,6.0929
2013-12-01,China,6.0738
2014-01-01,China,6.0509
2014-02-01,China,6.0816
2014-03-01,China,6.1729
2014-04-01,China,6.2246
2014-05-01,China,6.2380
2014-06-01,China,6.2306
2014-07-01,China,6.1984
2014-08-01,China,6.1541
2014-09-01,China,6.1382
2014-10-01,China,6.1251
2014-11-01,China,6.1249
2014-12-01,China,6.1886
2015-01-01,China,6.2181
2015-02-01,China,6.2518
2015-03-01,China,6.2386
2015-04-01,China,6.2010
2015-05-01,China,6.2035
2015-06-01,China,6.2052
2015-07-01,China,6.2085
2015-08-01,China,6.3383
2015-09-01,China,6.3676
2015-10-01,China,6.3505
2015-11-01,China,6.3640
2015-12-01,China,6.4491
2016-01-01,China,6.5726
2016-02-01,China,6.5501
2016-03-01,China,6.5027
2016-04-01,China,6.4754
2016-05-01,China,6.5259
2016-06-01,China,6.5892
2016-07-01,China,6.6771
2016-08-01,China,6.6466
2016-09-01,China,6.6702
2016-10-01,China,6.7303
2016-11-01,China,6.8402
2016-12-01,China,6.9198
2017-01-01,China,6.8907
2017-02-01,China,6.8694
2017-03-01,China,6.8940
2017-04-01,China,6.8876
2017-05-01,China,6.8843
2017-06-01,China,6.8066
2017-07-01,China,6.7694
2017-08-01,China,6.6670
2017-09-01,China,6.5690
2017-10-01,China,6.6254
2017-11-01,China,6.6200
2017-12-01,China,6.5932
2018-01-01,China,6.4233
2018-02-01,China,6.3183
2018-03-01,China,6.3174
2018-04-01,China,6.2967
2018-05-01,China,6.3701
2018-06-01,China,6.4651
2018-07-01,China,6.7164
2018-08-01,China,6.8453
2018-09-01,China,6.8551
2018-10-01,China,6.8878
2000-01-01,United Kingdom,0.60960741282614
2000-02-01,United Kingdom,0.625
2000-03-01,United Kingdom,0.6329514526235838
2000-04-01,United Kingdom,0.6319914049168931
2000-05-01,United Kingdom,0.6626905235255136
2000-06-01,United Kingdom,0.6626027034190299
2000-07-01,United Kingdom,0.6633059166887768
2000-08-01,United Kingdom,0.6716367788300088
2000-09-01,United Kingdom,0.6975446428571429
2000-10-01,United Kingdom,0.6893699158968704
2000-11-01,United Kingdom,0.7013606396409033
2000-12-01,United Kingdom,0.6835737234260715
2001-01-01,United Kingdom,0.676818950930626
2001-02-01,United Kingdom,0.6884681583476765
2001-03-01,United Kingdom,0.6922810661128419
2001-04-01,United Kingdom,0.6969612489545581
2001-05-01,United Kingdom,0.7010164738871363
2001-06-01,United Kingdom,0.7132667617689016
2001-07-01,United Kingdom,0.7068136839129205
2001-08-01,United Kingdom,0.6957973838018369
2001-09-01,United Kingdom,0.6831534362617844
2001-10-01,United Kingdom,0.6896076132680505
2001-11-01,United Kingdom,0.6965728615213151
2001-12-01,United Kingdom,0.6938180808991882
2002-01-01,United Kingdom,0.6982265046781176
2002-02-01,United Kingdom,0.7028888732691361
2002-03-01,United Kingdom,0.7027406886858749
2002-04-01,United Kingdom,0.6930487213251091
2002-05-01,United Kingdom,0.6850253459377997
2002-06-01,United Kingdom,0.6739906989283547
2002-07-01,United Kingdom,0.6424670735624799
2002-08-01,United Kingdom,0.6507027589796981
2002-09-01,United Kingdom,0.6425496369594551
2002-10-01,United Kingdom,0.6420545746388443
2002-11-01,United Kingdom,0.6364967220418815
2002-12-01,United Kingdom,0.6303977809998108
2003-01-01,United Kingdom,0.6182380216383307
2003-02-01,United Kingdom,0.621929224454257
2003-03-01,United Kingdom,0.631911532385466
2003-04-01,United Kingdom,0.6353643814727746
2003-05-01,United Kingdom,0.6163708086785009
2003-06-01,United Kingdom,0.6020832078993317
2003-07-01,United Kingdom,0.61648480364959
2003-08-01,United Kingdom,0.6273919317397578
2003-09-01,United Kingdom,0.6190034045187249
2003-10-01,United Kingdom,0.5955216769890423
2003-11-01,United Kingdom,0.5918210333195242
2003-12-01,United Kingdom,0.5709065996802923
